"latitude","longitude"
-23.5167,-46.8833
35.7876,-77.9844
10.0162,-84.2116
-7.3636,110.5664
51.1666,6.4426
50.0365,-110.661
39.4899,-74.4773
44.8186,20.4681
19.6469,-99.2467
14.6211,121.0703
56.65,23.7128
49.8803,-119.5004
40.3017,44.3592
45.1,24.1167
-32,115.85
-27.0833,-52.9833
47.6333,26.25
45.4511,12.2239
22.3,114.1667
39.1492,-78.278
-29.411,-66.8507
36.0877,-115.1485
32.814,-96.9489
10,8
37.4914,-122.211
56.7209,10.114
44.4267,18.0378
51.5167,7.45
26.2379,-80.1248
41.5703,120.4586
52.25,9.1
48.7167,2.4
43.6667,-79.4167
26.2666,-81.7093
43.85,144.6833
46.2167,20.4833
28.001,-82.4013
42.3584,-71.0598
42.0917,-86.012
25.7267,-80.2358
40.6067,-103.4505
2.0251,103.3328
40.657,-74.008
46.6333,27.7333
41.094,-73.7894
42.9264,-78.7479
47.6201,-122.1653
38.6027,-121.2687
47.2881,8.6122
32.7948,-116.9625
51.5299,13.9508
47.9029,1.9039
30.6521,-96.341
29.5356,-98.4814
-41.3,174.7833
50.3,7.6167
51.25,22.5667
56.5,27.3167
45.1859,9.1566
34.8601,-82.2464
5.4606,100.3074
35.7131,47.2656
44.4496,-95.7458
31.7708,34.7198
-26.2052,28.0498
22.3167,114.1833
51.5711,-0.1991
48.8817,2.3822
45.5833,10.0667
-15.5833,-56.0833
43.7258,20.6894
20.6667,-103.3333
37.4178,-122.172
33.0284,-117.1246
40.8299,-73.8646
42.4473,-71.2245
38.7322,35.4853
36.1914,5.4094
42.7826,-84.5846
29.7633,-95.3633
34.1537,-116.4189
52.85,7.6833
15.5,-90.25
45.4833,11.25
-22.7592,-43.4319
29.7987,-95.4192
19,-70.6667
2.8833,101.5
40.7267,-73.9981
-32.95,151.6667
34.0616,-118.0818
43.0606,-88.1065
-37.8167,145.2333
25.72,-80.2707
37.3348,-121.7781
55.9606,38.0456
47.1833,25.7667
33.5083,-112.0717
39.1422,117.1767
17.9667,102.6
48.0833,11.75
41,64
42.4411,19.2636
-33.8833,151.2167
38.9841,-77.3827
43.2454,-5.5629
