bitly.link.id	ts	click.count	long.url
LVoyqZ	2014-01-25 19:00:05	0	http://swlpwqx.serveftp.com/izbjrvtlxwsxarfdmdurzcyzgt4ebga8kqzpoexrga
LVoyHj	2014-01-25 19:00:05	1	http://swlpwqx.serveftp.com/znkbmv4oxxskhzgruaw4jqvzvrp0z0tk4rgtl8
LVovLJ	2014-01-25 19:00:05	13	http://swlpwqx.serveftp.com/epmglllr5zzgpxym1g82w4ygjvvumsyuyihtfzmuv95rp
LVoyqP	2014-01-25 19:00:06	0	http://swlpwqx.serveftp.com/osoz9vci67ltgzp0fzfloosiufga683u5p
LVoyaz	2014-01-25 19:00:04	0	http://swlpwqx.serveftp.com/zocwf8xanj7t9yznpr7fgznxpby2fgnkxcgy1afere8ocinwx6
LVoyqN	2014-01-25 19:00:05	1	http://swlpwqx.serveftp.com/66eldntsubajhdckzesyk62gzlvgrnkzejfdxxdltkuhifpwbw
LVovvf	2014-01-25 19:00:05	0	http://swlpwqx.serveftp.com/iehncz8evmwdocfzx99zf2tz19oq298
LVovv6	2014-01-25 19:00:05	4	http://swlpwqx.serveftp.com/9syw9r0zivlbd9jmdeg629nsillw4antt5nxzapq
LVoyap	2014-01-25 19:00:03	4	http://swlpwqx.serveftp.com/b0prodlkjguavmsmwrzj6pbgzdaic0p91kwpxnlrlzt
LVoyat	2014-01-25 19:00:03	2	http://swlpwqx.serveftp.com/cbyjsjjbaricksjvk28wzrefzxhhag1v30ad8vxmsi
LVn007	2014-01-25 18:50:19	6	http://zxxgqkuyw.myftp.org/3cz0zmqi0hhgdo1029ry3gksc20lthwbfrveq2
LVn1RK	2014-01-25 18:50:18	6	http://zxxgqkuyw.myftp.org/0a8c4cysppdau9idjldozy1vpwlgxp2j96iyj6
LVmZZX	2014-01-25 18:50:18	0	http://zxxgqkuyw.myftp.org/misqhfw6hnxxukjixkkyz73hiq6ejixfmb4oznwvdhfjeqo
LVn28i	2014-01-25 18:50:18	0	http://zxxgqkuyw.myftp.org/3zn7ytcwz7kgr2fwqyxvjsavpmrhvpxhgrjszlv7tl0hp
LVn28c	2014-01-25 18:50:18	0	http://zxxgqkuyw.myftp.org/dazzakbwvzjfbi8cg0wclcufrvxfam7o2
LVn1RO	2014-01-25 18:50:17	6	http://zxxgqkuyw.myftp.org/1al0cwiupbtylpf9ir8rzbbfovkzsvuikcrwa6q3hzie
LVmZJH	2014-01-25 18:50:17	1	http://zxxgqkuyw.myftp.org/d27rwn2nhukmq1a3z2g4r2ld1fohzvsa3adfqglliffpptzhn
LVn1RQ	2014-01-25 18:50:17	10	http://zxxgqkuyw.myftp.org/yhn4a4voezzbvw4bdzzrixfcekidjhzgderfbfit55
LVn284	2014-01-25 18:50:17	1	http://zxxgqkuyw.myftp.org/xtkzu0aflvcvbtkcjzb1c7hwznqbzgymf6auguv5e
